	embryo2_1	embryo2_1	embryo2_2	embryo2_2	embryo2_3	embryo2_3	embryo2_4	embryo2_4	embryo2_5	embryo2_5	embryo2_6	embryo2_6	embryo2_7	embryo2_7	embryo2_8	embryo2_8	embryo2_9	embryo2_9	embryo2_10	embryo2_10	embryo4_1	embryo4_1	embryo4_1	embryo4_1	embryo4_2	embryo4_2	embryo4_2	embryo4_2	embryo4_3	embryo4_3	embryo4_3	embryo4_3	embryo4_4	embryo4_4	embryo4_4	embryo4_4	embryo4_5	embryo4_5	embryo4_5	embryo4_5
ENSMUSG00000000001	636194.0	323758.0	61110.7	347426.0	185046.0	215784.0	5687.8	223407.0	49032.9	514287.0	110641.0	9610.8	352280.0	395690.0	1168030.0	245817.0	471027.0	631832.0	521623.0	461924.0	811573.0	47478.8	233547.0	808314.0	522818.0	159252.0	183172.0	510423.0	194673.0	665724.0	448066.0	173059.0	578848.0	196745.0	637090.0	305544.0	411197.0	658336.0	135940.0	388482.0
ENSMUSG00000000028	2656900.0	2051170.0	1577030.0	1916220.0	3494380.0	2679180.0	811383.0	1690860.0	2972760.0	2496960.0	2278560.0	2418000.0	1647620.0	2644490.0	3437780.0	2634960.0	2234460.0	2694010.0	1962210.0	1954350.0	3121300.0	2968050.0	2825510.0	3169340.0	2864880.0	3333010.0	2921120.0	3117030.0	3721720.0	2330160.0	5202990.0	2321030.0	2429090.0	1979910.0	2594680.0	3207760.0	2816060.0	2764840.0	675191.0	2535670.0
ENSMUSG00000000037	888693.0	851730.0	498551.0	409081.0	765051.0	463711.0	1062780.0	362748.0	167689.0	1049760.0	532657.0	1176070.0	399284.0	340585.0	230093.0	1036900.0	3630990.0	224862.0	268698.0	238810.0	0.0	1746.1	0.0	29273.4	129386.0	55089.4	809689.0	38600.6	35128.8	84504.6	186477.0	100170.0	22520.4	70600.7	0.0	62062.1	20395.1	26230.0	0.0	0.0
ENSMUSG00000000049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6139.9	29101.4	0.0	0.0	4174.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	199671.0	13627.8	20134.6	5847.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000056	1503320.0	2162990.0	594578.0	23250.9	817293.0	874624.0	298694.0	23924.7	4283.1	19293.5	23995.0	7757.6	32530.8	1163.0	694.5	1244490.0	738.5	906.0	1007.9	90118.5	128556.0	539761.0	5963.4	251877.0	1074260.0	1389720.0	30966.1	0.0	0.0	272681.0	0.0	1586680.0	0.0	0.0	46027.5	170359.0	1068.4	0.0	0.0	0.0
ENSMUSG00000000078	0.0	0.0	0.0	0.0	0.0	248648.0	88466.3	168715.0	112093.0	146205.0	0.0	0.0	0.0	541.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54375.2	41016.7	56709.3	60840.3	0.0	0.0	0.0	0.0
ENSMUSG00000000085	280549.0	1290350.0	240416.0	680690.0	767717.0	620866.0	1154500.0	316835.0	775112.0	661574.0	229961.0	721967.0	72293.1	11525.4	0.0	2945.4	919260.0	18890.2	11920.9	710313.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8625.2	4896.8	769732.0	4313.8	721737.0	0.0	72508.8	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000088	356613.0	946136.0	23515.9	661200.0	506304.0	278855.0	617794.0	414199.0	358177.0	357041.0	1494320.0	4543110.0	2977650.0	4051410.0	2001120.0	2604840.0	3591000.0	4827570.0	2570710.0	3359850.0	8410990.0	6321010.0	8347750.0	8873710.0	6816650.0	9025560.0	7864320.0	6885490.0	10337300.0	11475300.0	10431500.0	8974840.0	6740580.0	10793400.0	8740330.0	7108200.0	9162720.0	9988990.0	11517100.0	9703000.0
ENSMUSG00000000094	94434.0	58094.6	53512.4	1004.1	0.0	10237.6	263063.0	205682.0	2700.4	85986.3	340509.0	7363.5	14622.6	17511.8	50582.5	0.0	0.0	2588.3	0.0	24565.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50153.5	0.0	0.0	0.0	33940.1	0.0	0.0	0.0	0.0
ENSMUSG00000000127	172943.0	45708.1	829.7	0.0	0.0	94793.7	280793.0	120182.0	132142.0	118384.0	257915.0	575130.0	193122.0	0.0	366335.0	586809.0	0.0	257655.0	0.0	160193.0	185589.0	75357.7	3739.8	1828.6	226400.0	5835.9	3885.2	74051.2	233029.0	575486.0	0.0	218933.0	0.0	0.0	0.0	0.0	463044.0	1797.2	0.0	0.0
